"","ppt_no","PC","HR","FA","AS","RT","CR","dur","age","cond"
"67",19,0.806,0.833,0.222,3.25,1600.03,0.611,"900ms","Younger","Colour"
"68",20,0.972,0.944,0,5,970.5,0.944,"900ms","Younger","Colour"
"69",21,0.917,1,0.167,5,1480.56,0.833,"900ms","Older","Colour"
"70",22,0.972,1,0.056,5,831.44,0.944,"900ms","Younger","Colour"
"71",23,0.972,1,0.056,8.53,934.94,0.944,"900ms","Younger","Colour"
"72",24,0.972,0.944,0,6.53,726.28,0.944,"900ms","Younger","Colour"
"73",25,1,1,0,5.03,567.83,1,"900ms","Younger","Colour"
"74",26,0.944,1,0.111,4.97,763.58,0.889,"900ms","Younger","Colour"
"75",27,0.972,0.944,0,4,733.39,0.944,"900ms","Younger","Colour"
"76",28,1,1,0,4.97,968.47,1,"900ms","Younger","Colour"
"77",29,0.972,1,0.056,5.39,728.14,0.944,"900ms","Younger","Colour"
"78",30,0.972,1,0.056,6.86,1238.28,0.944,"900ms","Younger","Colour"
"79",31,0.972,1,0.056,3.25,1525.47,0.944,"900ms","Older","Colour"
"80",32,0.583,0.5,0.333,8.39,1575.31,0.167,"900ms","Younger","Colour"
"81",33,0.972,1,0.056,4,768.72,0.944,"900ms","Younger","Colour"
"82",34,0.972,1,0.056,5,1244.58,0.944,"900ms","Younger","Colour"
"83",35,1,1,0,4,991.67,1,"900ms","Younger","Colour"
"84",36,1,1,0,5.61,966.83,1,"900ms","Older","Colour"
"85",37,0.889,0.944,0.167,7.44,1511.61,0.777,"900ms","Older","Colour"
"86",38,0.972,1,0.056,6.89,1245.03,0.944,"900ms","Older","Colour"
"87",39,0.889,1,0.222,5.75,1440.75,0.778,"900ms","Older","Colour"
"88",40,0.778,0.611,0.056,3.47,877.53,0.555,"900ms","Older","Colour"
"89",41,0.972,1,0.056,3.97,1030.14,0.944,"900ms","Older","Colour"
"90",42,0.778,1,0.444,7,1487.06,0.556,"900ms","Older","Colour"
"91",43,0.944,1,0.111,5,860.72,0.889,"900ms","Older","Colour"
"92",44,0.944,1,0.111,6.81,1171.81,0.889,"900ms","Older","Colour"
"93",45,0.972,1,0.056,6.78,1077.11,0.944,"900ms","Older","Colour"
"94",46,0.861,0.833,0.111,3.28,1485,0.722,"900ms","Older","Colour"
"95",47,0.75,0.889,0.389,5.89,1145.47,0.5,"900ms","Older","Colour"
"96",48,0.944,0.944,0.056,7.5,1092.81,0.888,"900ms","Older","Colour"
"97",1,0.806,0.611,0,6.42,1845.44,0.611,"900ms","Older","Binding"
"98",2,0.694,0.611,0.222,4.58,1513,0.389,"900ms","Younger","Binding"
"99",3,0.889,0.889,0.111,7.42,736.36,0.778,"900ms","Younger","Binding"
"100",4,0.833,0.778,0.111,8.03,2048.19,0.667,"900ms","Younger","Binding"
"101",5,0.694,0.833,0.444,7.86,1700.06,0.389,"900ms","Older","Binding"
"102",6,0.778,0.889,0.333,2.78,1547.61,0.556,"900ms","Older","Binding"
"103",7,0.917,0.889,0.056,5,1091.44,0.833,"900ms","Older","Binding"
"104",8,0.778,0.667,0.111,5.31,923.31,0.556,"900ms","Younger","Binding"
"105",9,0.778,0.889,0.333,4.06,1356.19,0.556,"900ms","Younger","Binding"
"106",10,0.833,0.833,0.167,7.67,2536.5,0.666,"900ms","Older","Binding"
"107",11,0.556,0.389,0.278,7.56,1350.11,0.111,"900ms","Older","Binding"
"108",12,0.778,0.722,0.167,6.22,1816.92,0.555,"900ms","Older","Binding"
"109",13,0.639,0.722,0.445,8,1203.56,0.277,"900ms","Younger","Binding"
"110",14,0.806,0.722,0.111,6.33,1290.17,0.611,"900ms","Younger","Binding"
"111",15,0.806,0.667,0.056,5.36,858.39,0.611,"900ms","Younger","Binding"
"112",16,0.611,0.278,0.056,3.25,1726.83,0.222,"900ms","Older","Binding"
"113",17,0.861,0.722,0,6.5,893.03,0.722,"900ms","Younger","Binding"
"114",18,0.806,0.889,0.278,7.47,1584.83,0.611,"900ms","Older","Binding"
"115",19,0.444,0.388,0.5,3,1701.67,-0.112,"900ms","Younger","Binding"
"116",20,0.944,0.889,0,5,1436.36,0.889,"900ms","Younger","Binding"
"117",21,0.694,0.5,0.111,5.06,2133.58,0.389,"900ms","Older","Binding"
"118",22,0.917,0.889,0.056,5.03,1225.17,0.833,"900ms","Younger","Binding"
"119",23,0.528,0.5,0.445,8.39,1417.25,0.055,"900ms","Younger","Binding"
"120",24,0.889,0.833,0.056,6.92,907.61,0.777,"900ms","Younger","Binding"
"121",25,0.778,0.667,0.111,5.19,828.17,0.556,"900ms","Younger","Binding"
"122",26,0.861,0.889,0.167,5,960.67,0.722,"900ms","Younger","Binding"
"123",27,0.861,0.778,0.056,4.08,861.61,0.722,"900ms","Younger","Binding"
"124",28,0.861,0.778,0.056,4.19,1140.72,0.722,"900ms","Younger","Binding"
"125",29,0.889,0.944,0.167,5.33,1045.61,0.777,"900ms","Younger","Binding"
"126",30,0.972,0.944,0,5.92,1734.5,0.944,"900ms","Younger","Binding"
"127",31,0.806,0.833,0.222,3.28,2475,0.611,"900ms","Older","Binding"
"128",32,0.417,0.167,0.333,8.69,1280.72,-0.166,"900ms","Younger","Binding"
"129",33,0.833,0.722,0.056,4,1043.83,0.666,"900ms","Younger","Binding"
"130",34,0.806,0.667,0.056,4.89,1537,0.611,"900ms","Younger","Binding"
"131",35,0.694,0.5,0.111,4.03,1624.78,0.389,"900ms","Younger","Binding"
"132",36,0.806,0.778,0.167,5.75,1510.83,0.611,"900ms","Older","Binding"
"133",37,0.583,0.833,0.667,6.44,2628.44,0.166,"900ms","Older","Binding"
"134",38,0.806,0.667,0.056,6.89,1337.25,0.611,"900ms","Older","Binding"
"135",39,0.583,0.667,0.5,4.56,1739.39,0.167,"900ms","Older","Binding"
"136",40,0.528,0.389,0.333,3.75,886.69,0.056,"900ms","Older","Binding"
"137",41,0.75,0.722,0.222,3.67,1652.33,0.5,"900ms","Older","Binding"
"138",42,0.556,0.611,0.5,6.25,1759.72,0.111,"900ms","Older","Binding"
"139",43,0.611,0.611,0.389,4.92,1515.14,0.222,"900ms","Older","Binding"
"140",44,0.694,0.889,0.5,7.22,1121.25,0.389,"900ms","Older","Binding"
"141",45,0.833,0.778,0.111,7.42,1729.97,0.667,"900ms","Older","Binding"
"142",46,0.583,0.722,0.556,3.92,1680.03,0.166,"900ms","Older","Binding"
"143",47,0.861,0.833,0.111,6.17,1217.97,0.722,"900ms","Older","Binding"
"144",48,0.778,0.778,0.222,7.36,1280.61,0.556,"900ms","Older","Binding"
"145",1,0.917,0.889,0.056,8.47,2198.69,0.833,"2500ms","Older","Shape"
"146",2,0.889,0.944,0.167,6.72,1269.92,0.777,"2500ms","Younger","Shape"
"147",3,0.861,0.778,0.056,10.56,774.64,0.722,"2500ms","Younger","Shape"
"148",4,0.944,0.944,0.056,13.64,1366.22,0.888,"2500ms","Younger","Shape"
"149",5,0.889,1,0.222,9.78,1508.47,0.778,"2500ms","Older","Shape"
"150",6,0.806,0.778,0.167,4.97,1585.28,0.611,"2500ms","Older","Shape"
"151",7,0.833,0.944,0.278,5.86,1258.36,0.666,"2500ms","Older","Shape"
"152",8,0.806,0.889,0.278,6.67,1196.19,0.611,"2500ms","Younger","Shape"
"153",9,1,1,0,4.92,1474.64,1,"2500ms","Younger","Shape"
"154",10,0.722,0.833,0.389,8.94,2065.69,0.444,"2500ms","Older","Shape"
"155",11,0.75,0.611,0.111,10,1491.31,0.5,"2500ms","Older","Shape"
"156",12,0.833,0.722,0.056,5.39,1658.53,0.666,"2500ms","Older","Shape"
"157",13,0.972,1,0.056,8.14,885,0.944,"2500ms","Younger","Shape"
"158",14,0.917,0.889,0.056,7.64,1211.17,0.833,"2500ms","Younger","Shape"
"159",15,0.944,0.944,0.056,7.06,830.33,0.888,"2500ms","Younger","Shape"
"160",16,0.861,0.889,0.167,5.06,2114.47,0.722,"2500ms","Older","Shape"
"161",17,0.972,1,0.056,8.03,891.17,0.944,"2500ms","Younger","Shape"
"162",18,0.861,0.889,0.167,9.03,1538.61,0.722,"2500ms","Older","Shape"
"163",19,0.722,0.778,0.333,4.61,1513.17,0.445,"2500ms","Younger","Shape"
"164",20,0.944,0.944,0.056,5,1097.78,0.888,"2500ms","Younger","Shape"
"165",21,0.917,0.944,0.111,7.17,1758.64,0.833,"2500ms","Older","Shape"
"166",22,0.889,0.889,0.111,6,1142.31,0.778,"2500ms","Younger","Shape"
"167",23,0.889,0.889,0.111,11.22,1035.69,0.778,"2500ms","Younger","Shape"
"168",24,0.944,0.944,0.056,8.06,767.64,0.888,"2500ms","Younger","Shape"
"169",25,0.972,1,0.056,6.97,793.81,0.944,"2500ms","Younger","Shape"
"170",26,0.889,1,0.222,6.06,1084.75,0.778,"2500ms","Younger","Shape"
"171",27,0.972,1,0.056,5.33,1167.94,0.944,"2500ms","Younger","Shape"
"172",28,0.889,0.889,0.111,7,1107.17,0.778,"2500ms","Younger","Shape"
"173",29,0.944,1,0.111,6.83,963.92,0.889,"2500ms","Younger","Shape"
"174",30,0.917,0.889,0.056,10.53,2041.94,0.833,"2500ms","Younger","Shape"
"175",31,0.944,1,0.111,6.14,1905.31,0.889,"2500ms","Older","Shape"
"176",32,0.556,0.111,0,10.64,1441.81,0.111,"2500ms","Younger","Shape"
"177",33,0.972,1,0.056,5,851.58,0.944,"2500ms","Younger","Shape"
"178",34,1,1,0,7.06,1219.61,1,"2500ms","Younger","Shape"
